Metric,Value
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,46
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.26562719442525917
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.2610571555041695
timing__hold__ws__corner:max_ff_n40C_1v95,0.11189183229991921
timing__setup__ws__corner:max_ff_n40C_1v95,5.047528315961488
timing__hold__tns__corner:max_ff_n40C_1v95,0
timing__setup__tns__corner:max_ff_n40C_1v95,0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.111892
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,7.053769
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,15
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,15
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79911
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79984
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.000885682
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00091629
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000156809
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00091629
design_powergrid__voltage__worst,0.00091629
design_powergrid__voltage__worst__net:VPWR,1.79911
design_powergrid__drop__worst,0.00091629
design_powergrid__drop__worst__net:VPWR,0.000885682
design_powergrid__voltage__worst__net:VGND,0.00091629
design_powergrid__drop__worst__net:VGND,0.00091629
ir__voltage__worst,1.8
ir__drop__avg,0.000163
ir__drop__worst,0.000886
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
